caso,componente,material,norma,classe,estatuto,propriedade,unidade,min,max,referencia,notas,tipico,estado
Prótese da anca,Haste femoral,Ti-35Nb-7Zr-5Ta (TNZT),-,Metal,Investigação,Módulo de Young,GPa,55.0,66.0,Geetha M et al. Prog Mater Sci 2009;54:397-425,Excluído no cenário 'só materiais clínicos',60.5,A verificar
Prótese da anca,Haste femoral,Ti-35Nb-7Zr-5Ta (TNZT),-,Metal,Investigação,Tensão de cedência,MPa,530.0,550.0,Geetha M et al. Prog Mater Sci 2009;54:397-425,Excluído no cenário 'só materiais clínicos',540.0,A verificar
Prótese da anca,Haste femoral,Ti-35Nb-7Zr-5Ta (TNZT),-,Metal,Investigação,Resistência à tração,MPa,590.0,600.0,Geetha M et al. Prog Mater Sci 2009;54:397-425,Excluído no cenário 'só materiais clínicos',595.0,A verificar
Prótese da anca,Haste femoral,Ti-35Nb-7Zr-5Ta (TNZT),-,Metal,Investigação,Limite de fadiga (10^7 ciclos),MPa,265.0,450.0,Geetha M et al. Prog Mater Sci 2009;54:397-425,Excluído no cenário 'só materiais clínicos',357.5,A verificar
Prótese da anca,Haste femoral,Ti-35Nb-7Zr-5Ta (TNZT),-,Metal,Investigação,Densidade,g/cm³,5.6,5.8,Geetha M et al. Prog Mater Sci 2009;54:397-425,Excluído no cenário 'só materiais clínicos',5.699999999999999,A verificar
Prótese da anca,Haste femoral,Ti-35Nb-7Zr-5Ta (TNZT),-,Metal,Investigação,Resistência à corrosão (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,Excluído no cenário 'só materiais clínicos',5.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / UHMWPE convencional (MoP),-,Par tribológico,Clínico,Taxa de desgaste linear,mm/ano,0.1,0.2,"Kurtz SM. UHMWPE Biomaterials Handbook, 3rd ed., 2016",OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Osteólise por partículas de PE; corrosão na junção cabeça-cone,0.15000000000000002,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / UHMWPE convencional (MoP),-,Par tribológico,Clínico,Dureza da cabeça,HV,300.0,450.0,Chevalier J. Biomaterials 2006;27:535-543 (zircónia/envelhecimento),OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Osteólise por partículas de PE; corrosão na junção cabeça-cone,375.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / UHMWPE convencional (MoP),-,Par tribológico,Clínico,Segurança iónica / risco ALTR (ordinal 1-5),-,4.0,4.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Osteólise por partículas de PE; corrosão na junção cabeça-cone,4.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / HXLPE (MoXLPE),-,Par tribológico,Clínico,Taxa de desgaste linear,mm/ano,0.01,0.05,"Kurtz SM. UHMWPE Biomaterials Handbook, 3rd ed., 2016",OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | PE altamente reticulado; oxidação se radiação gama sem estabilização,0.030000000000000002,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / HXLPE (MoXLPE),-,Par tribológico,Clínico,Dureza da cabeça,HV,300.0,450.0,Chevalier J. Biomaterials 2006;27:535-543 (zircónia/envelhecimento),OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | PE altamente reticulado; oxidação se radiação gama sem estabilização,375.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / HXLPE (MoXLPE),-,Par tribológico,Clínico,Segurança iónica / risco ALTR (ordinal 1-5),-,4.0,4.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | PE altamente reticulado; oxidação se radiação gama sem estabilização,4.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / HXLPE (CoXLPE),-,Par tribológico,Clínico,Taxa de desgaste linear,mm/ano,0.01,0.04,"Kurtz SM. UHMWPE Biomaterials Handbook, 3rd ed., 2016",OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Cerâmica na cabeça elimina corrosão na junção,0.025,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / HXLPE (CoXLPE),-,Par tribológico,Clínico,Dureza da cabeça,HV,1750.0,1975.0,Chevalier J. Biomaterials 2006;27:535-543 (zircónia/envelhecimento),OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Cerâmica na cabeça elimina corrosão na junção,1862.5,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / HXLPE (CoXLPE),-,Par tribológico,Clínico,Segurança iónica / risco ALTR (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Cerâmica na cabeça elimina corrosão na junção,5.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / ZTA (CoC),-,Par tribológico,Clínico,Taxa de desgaste linear,mm/ano,0.001,0.005,"Kurtz SM. UHMWPE Biomaterials Handbook, 3rd ed., 2016",OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Risco de fratura baixo mas não nulo; ruído (squeaking),0.003,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / ZTA (CoC),-,Par tribológico,Clínico,Dureza da cabeça,HV,1750.0,1975.0,Chevalier J. Biomaterials 2006;27:535-543 (zircónia/envelhecimento),OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Risco de fratura baixo mas não nulo; ruído (squeaking),1862.5,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / ZTA (CoC),-,Par tribológico,Clínico,Segurança iónica / risco ALTR (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Risco de fratura baixo mas não nulo; ruído (squeaking),5.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / CoCrMo (MoM),-,Par tribológico,Clínico (abandonado),Taxa de desgaste linear,mm/ano,0.003,0.01,"Kurtz SM. UHMWPE Biomaterials Handbook, 3rd ed., 2016","OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Iões Co/Cr, ALTR; recolha ASR 2010: candidato a eliminar na triagem",0.006500000000000001,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / CoCrMo (MoM),-,Par tribológico,Clínico (abandonado),Dureza da cabeça,HV,300.0,450.0,Chevalier J. Biomaterials 2006;27:535-543 (zircónia/envelhecimento),"OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Iões Co/Cr, ALTR; recolha ASR 2010: candidato a eliminar na triagem",375.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / CoCrMo (MoM),-,Par tribológico,Clínico (abandonado),Segurança iónica / risco ALTR (ordinal 1-5),-,1.0,1.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,"OBRIGATÓRIO indicar tipo de evidência: in vivo (radiográfico/RSA) vs simulador ISO 14242: não misturar | Iões Co/Cr, ALTR; recolha ASR 2010: candidato a eliminar na triagem",1.0,A verificar
Implante dentário,Corpo do implante,Ti cp grau 4,ASTM F67,Metal,Clínico,Módulo de Young,GPa,103.0,110.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,,106.5,A verificar
Implante dentário,Corpo do implante,Ti cp grau 4,ASTM F67,Metal,Clínico,Resistência mecânica (tração/flexão),MPa,550.0,680.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,,615.0,A verificar
Implante dentário,Corpo do implante,Ti cp grau 4,ASTM F67,Metal,Clínico,Tenacidade à fratura (K_IC),MPa·m^0.5,50.0,70.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,,60.0,A verificar
Implante dentário,Corpo do implante,Ti cp grau 4,ASTM F67,Metal,Clínico,Densidade,g/cm³,4.51,4.51,Niinomi M. Mater Sci Eng A 1998;243:231-236,,4.51,A verificar
Implante dentário,Corpo do implante,Ti cp grau 4,ASTM F67,Metal,Clínico,Estética (ordinal 1-5),-,2.0,2.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,2.0,A verificar
Implante dentário,Corpo do implante,Ti cp grau 4,ASTM F67,Metal,Clínico,Evidência clínica de osteointegração (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,5.0,A verificar
Implante dentário,Corpo do implante,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Módulo de Young,GPa,110.0,114.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,,112.0,A verificar
Implante dentário,Corpo do implante,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Resistência mecânica (tração/flexão),MPa,860.0,965.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,,912.5,A verificar
Implante dentário,Corpo do implante,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Tenacidade à fratura (K_IC),MPa·m^0.5,55.0,75.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,,65.0,A verificar
Implante dentário,Corpo do implante,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Densidade,g/cm³,4.43,4.43,Niinomi M. Mater Sci Eng A 1998;243:231-236,,4.43,A verificar
Implante dentário,Corpo do implante,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Estética (ordinal 1-5),-,2.0,2.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,2.0,A verificar
Implante dentário,Corpo do implante,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Evidência clínica de osteointegração (ordinal 1-5),-,4.0,4.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,4.0,A verificar
Implante dentário,Corpo do implante,Ti-Zr (~15% Zr),-,Metal,Clínico,Módulo de Young,GPa,95.0,105.0,Ficha técnica do fabricante (ex.: Straumann Roxolid): confirmar,,100.0,A verificar
Implante dentário,Corpo do implante,Ti-Zr (~15% Zr),-,Metal,Clínico,Resistência mecânica (tração/flexão),MPa,900.0,1000.0,Ficha técnica do fabricante (ex.: Straumann Roxolid): confirmar,,950.0,A verificar
Implante dentário,Corpo do implante,Ti-Zr (~15% Zr),-,Metal,Clínico,Tenacidade à fratura (K_IC),MPa·m^0.5,50.0,70.0,Ficha técnica do fabricante (ex.: Straumann Roxolid): confirmar,,60.0,A verificar
Implante dentário,Corpo do implante,Ti-Zr (~15% Zr),-,Metal,Clínico,Densidade,g/cm³,4.9,5.1,Ficha técnica do fabricante (ex.: Straumann Roxolid): confirmar,,5.0,A verificar
Implante dentário,Corpo do implante,Ti-Zr (~15% Zr),-,Metal,Clínico,Estética (ordinal 1-5),-,2.0,2.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,2.0,A verificar
Implante dentário,Corpo do implante,Ti-Zr (~15% Zr),-,Metal,Clínico,Evidência clínica de osteointegração (ordinal 1-5),-,4.0,4.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,4.0,A verificar
Implante dentário,Corpo do implante,Zircónia Y-TZP,ISO 13356,Cerâmico,Clínico,Módulo de Young,GPa,200.0,210.0,Chevalier J. Biomaterials 2006;27:535-543 (zircónia/envelhecimento),,205.0,A verificar
Implante dentário,Corpo do implante,Zircónia Y-TZP,ISO 13356,Cerâmico,Clínico,Resistência mecânica (tração/flexão),MPa,900.0,1200.0,Chevalier J. Biomaterials 2006;27:535-543 (zircónia/envelhecimento),"Cerâmicos: resistência à flexão, não tração",1050.0,A verificar
Implante dentário,Corpo do implante,Zircónia Y-TZP,ISO 13356,Cerâmico,Clínico,Tenacidade à fratura (K_IC),MPa·m^0.5,5.0,10.0,Chevalier J. Biomaterials 2006;27:535-543 (zircónia/envelhecimento),Degradação a baixa temperatura (LTD): ver Chevalier 2006,7.5,A verificar
Implante dentário,Corpo do implante,Zircónia Y-TZP,ISO 13356,Cerâmico,Clínico,Densidade,g/cm³,6.0,6.1,Chevalier J. Biomaterials 2006;27:535-543 (zircónia/envelhecimento),,6.05,A verificar
Implante dentário,Corpo do implante,Zircónia Y-TZP,ISO 13356,Cerâmico,Clínico,Estética (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,5.0,A verificar
Implante dentário,Corpo do implante,Zircónia Y-TZP,ISO 13356,Cerâmico,Clínico,Evidência clínica de osteointegração (ordinal 1-5),-,3.0,3.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,3.0,A verificar
Implante dentário,Corpo do implante,PEEK,ASTM F2026,Polímero,Clínico (uso limitado),Módulo de Young,GPa,3.0,4.0,"Ratner BD et al. Biomaterials Science, 4th ed., 2020",,3.5,A verificar
Implante dentário,Corpo do implante,PEEK,ASTM F2026,Polímero,Clínico (uso limitado),Resistência mecânica (tração/flexão),MPa,90.0,100.0,"Ratner BD et al. Biomaterials Science, 4th ed., 2020",,95.0,A verificar
Implante dentário,Corpo do implante,PEEK,ASTM F2026,Polímero,Clínico (uso limitado),Tenacidade à fratura (K_IC),MPa·m^0.5,3.0,6.0,"Ratner BD et al. Biomaterials Science, 4th ed., 2020",,4.5,A verificar
Implante dentário,Corpo do implante,PEEK,ASTM F2026,Polímero,Clínico (uso limitado),Densidade,g/cm³,1.3,1.32,"Ratner BD et al. Biomaterials Science, 4th ed., 2020",,1.31,A verificar
Implante dentário,Corpo do implante,PEEK,ASTM F2026,Polímero,Clínico (uso limitado),Estética (ordinal 1-5),-,3.0,3.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,3.0,A verificar
Implante dentário,Corpo do implante,PEEK,ASTM F2026,Polímero,Clínico (uso limitado),Evidência clínica de osteointegração (ordinal 1-5),-,1.0,1.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,1.0,A verificar
Stent vascular,Estrutura do stent,Aço inox 316L,ASTM F138,Metal,Clínico (1.ª geração),Módulo de Young,GPa,193.0,193.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),Contém Ni; struts espessos,193.0,A verificar
Stent vascular,Estrutura do stent,Aço inox 316L,ASTM F138,Metal,Clínico (1.ª geração),Tensão de cedência,MPa,205.0,340.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,272.5,A verificar
Stent vascular,Estrutura do stent,Aço inox 316L,ASTM F138,Metal,Clínico (1.ª geração),Resistência à tração,MPa,515.0,670.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,592.5,A verificar
Stent vascular,Estrutura do stent,Aço inox 316L,ASTM F138,Metal,Clínico (1.ª geração),Alongamento na rotura,%,40.0,60.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,50.0,A verificar
Stent vascular,Estrutura do stent,Aço inox 316L,ASTM F138,Metal,Clínico (1.ª geração),Densidade,g/cm³,8.0,8.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,8.0,A verificar
Stent vascular,Estrutura do stent,Aço inox 316L,ASTM F138,Metal,Clínico (1.ª geração),Espessura típica de strut,µm,100.0,140.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,120.0,A verificar
Stent vascular,Estrutura do stent,Aço inox 316L,ASTM F138,Metal,Clínico (1.ª geração),Tempo de reabsorção,meses,,,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),Permanente: só entra no cenário B como 'não reabsorve',,A verificar
Stent vascular,Estrutura do stent,Co-Cr L605,ASTM F90,Metal,Clínico,Módulo de Young,GPa,243.0,243.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),Slides: F90 (Co-Cr-W-Ni),243.0,A verificar
Stent vascular,Estrutura do stent,Co-Cr L605,ASTM F90,Metal,Clínico,Tensão de cedência,MPa,460.0,500.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,480.0,A verificar
Stent vascular,Estrutura do stent,Co-Cr L605,ASTM F90,Metal,Clínico,Resistência à tração,MPa,1000.0,1050.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,1025.0,A verificar
Stent vascular,Estrutura do stent,Co-Cr L605,ASTM F90,Metal,Clínico,Alongamento na rotura,%,50.0,55.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,52.5,A verificar
Stent vascular,Estrutura do stent,Co-Cr L605,ASTM F90,Metal,Clínico,Densidade,g/cm³,9.1,9.1,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,9.1,A verificar
Stent vascular,Estrutura do stent,Co-Cr L605,ASTM F90,Metal,Clínico,Espessura típica de strut,µm,60.0,90.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,75.0,A verificar
Stent vascular,Estrutura do stent,Co-Cr L605,ASTM F90,Metal,Clínico,Tempo de reabsorção,meses,,,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),Permanente: só entra no cenário B como 'não reabsorve',,A verificar
Stent vascular,Estrutura do stent,Co-Ni-Cr-Mo MP35N,ASTM F562,Metal,Clínico,Módulo de Young,GPa,233.0,233.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),Slides: F562,233.0,A verificar
Stent vascular,Estrutura do stent,Co-Ni-Cr-Mo MP35N,ASTM F562,Metal,Clínico,Tensão de cedência,MPa,410.0,415.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,412.5,A verificar
Stent vascular,Estrutura do stent,Co-Ni-Cr-Mo MP35N,ASTM F562,Metal,Clínico,Resistência à tração,MPa,930.0,960.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,945.0,A verificar
Stent vascular,Estrutura do stent,Co-Ni-Cr-Mo MP35N,ASTM F562,Metal,Clínico,Alongamento na rotura,%,45.0,45.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,45.0,A verificar
Stent vascular,Estrutura do stent,Co-Ni-Cr-Mo MP35N,ASTM F562,Metal,Clínico,Densidade,g/cm³,8.4,8.4,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,8.4,A verificar
Stent vascular,Estrutura do stent,Co-Ni-Cr-Mo MP35N,ASTM F562,Metal,Clínico,Espessura típica de strut,µm,60.0,90.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,75.0,A verificar
Stent vascular,Estrutura do stent,Co-Ni-Cr-Mo MP35N,ASTM F562,Metal,Clínico,Tempo de reabsorção,meses,,,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),Permanente: só entra no cenário B como 'não reabsorve',,A verificar
Stent vascular,Estrutura do stent,Pt-Cr,-,Metal,Clínico,Módulo de Young,GPa,203.0,203.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),Alta radiopacidade,203.0,A verificar
Stent vascular,Estrutura do stent,Pt-Cr,-,Metal,Clínico,Tensão de cedência,MPa,480.0,480.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,480.0,A verificar
Stent vascular,Estrutura do stent,Pt-Cr,-,Metal,Clínico,Resistência à tração,MPa,834.0,834.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,834.0,A verificar
Stent vascular,Estrutura do stent,Pt-Cr,-,Metal,Clínico,Alongamento na rotura,%,45.0,45.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,45.0,A verificar
Stent vascular,Estrutura do stent,Pt-Cr,-,Metal,Clínico,Densidade,g/cm³,9.9,9.9,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,9.9,A verificar
